mode,threshold,coverage,accuracy,risk,n
MEM,0.96,0.38621794871794873,0.975103734439834,0.024896265560165998,241
MEM,0.98,0.0,0.0,1.0,0
MEM,1.0,0.0,0.0,1.0,0
MEMSYM,0.0,1.0,0.6730769230769231,0.32692307692307687,624
MEMSYM,0.02,1.0,0.6730769230769231,0.32692307692307687,624
MEMSYM,0.04,1.0,0.6730769230769231,0.32692307692307687,624
MEMSYM,0.06,1.0,0.6730769230769231,0.32692307692307687,624
MEMSYM,0.08,1.0,0.6730769230769231,0.32692307692307687,624
MEMSYM,0.1,1.0,0.6730769230769231,0.32692307692307687,624
MEMSYM,0.12,1.0,0.6730769230769231,0.32692307692307687,624
MEMSYM,0.14,1.0,0.6730769230769231,0.32692307692307687,624
MEMSYM,0.16,1.0,0.6730769230769231,0.32692307692307687,624
MEMSYM,0.18,1.0,0.6730769230769231,0.32692307692307687,624
MEMSYM,0.2,1.0,0.6730769230769231,0.32692307692307687,624
MEMSYM,0.22,1.0,0.6730769230769231,0.32692307692307687,624
MEMSYM,0.24,1.0,0.6730769230769231,0.32692307692307687,624
MEMSYM,0.26,1.0,0.6730769230769231,0.32692307692307687,624
MEMSYM,0.28,1.0,0.6730769230769231,0.32692307692307687,624
MEMSYM,0.3,1.0,0.6730769230769231,0.32692307692307687,624
MEMSYM,0.32,1.0,0.6730769230769231,0.32692307692307687,624
MEMSYM,0.34,1.0,0.6730769230769231,0.32692307692307687,624
MEMSYM,0.36,1.0,0.6730769230769231,0.32692307692307687,624
MEMSYM,0.38,1.0,0.6730769230769231,0.32692307692307687,624
MEMSYM,0.4,0.49198717948717946,0.9706840390879479,0.02931596091205213,307
MEMSYM,0.42,0.49198717948717946,0.9706840390879479,0.02931596091205213,307
MEMSYM,0.44,0.49198717948717946,0.9706840390879479,0.02931596091205213,307
MEMSYM,0.46,0.49198717948717946,0.9706840390879479,0.02931596091205213,307
MEMSYM,0.48,0.49198717948717946,0.9706840390879479,0.02931596091205213,307
MEMSYM,0.5,0.49198717948717946,0.9706840390879479,0.02931596091205213,307
MEMSYM,0.52,0.49198717948717946,0.9706840390879479,0.02931596091205213,307
MEMSYM,0.54,0.49198717948717946,0.9706840390879479,0.02931596091205213,307
MEMSYM,0.56,0.49198717948717946,0.9706840390879479,0.02931596091205213,307
MEMSYM,0.58,0.49198717948717946,0.9706840390879479,0.02931596091205213,307
MEMSYM,0.6,0.49198717948717946,0.9706840390879479,0.02931596091205213,307
MEMSYM,0.62,0.49198717948717946,0.9706840390879479,0.02931596091205213,307
MEMSYM,0.64,0.49198717948717946,0.9706840390879479,0.02931596091205213,307
MEMSYM,0.66,0.49198717948717946,0.9706840390879479,0.02931596091205213,307
MEMSYM,0.68,0.49198717948717946,0.9706840390879479,0.02931596091205213,307
MEMSYM,0.7,0.49198717948717946,0.9706840390879479,0.02931596091205213,307
MEMSYM,0.72,0.49198717948717946,0.9706840390879479,0.02931596091205213,307
MEMSYM,0.74,0.49198717948717946,0.9706840390879479,0.02931596091205213,307
MEMSYM,0.76,0.49198717948717946,0.9706840390879479,0.02931596091205213,307
MEMSYM,0.78,0.49198717948717946,0.9706840390879479,0.02931596091205213,307
MEMSYM,0.8,0.49198717948717946,0.9706840390879479,0.02931596091205213,307
MEMSYM,0.82,0.49198717948717946,0.9706840390879479,0.02931596091205213,307
MEMSYM,0.84,0.49198717948717946,0.9706840390879479,0.02931596091205213,307
MEMSYM,0.86,0.49038461538461536,0.9738562091503268,0.02614379084967322,306
MEMSYM,0.88,0.49038461538461536,0.9738562091503268,0.02614379084967322,306
MEMSYM,0.9,0.49038461538461536,0.9738562091503268,0.02614379084967322,306
MEMSYM,0.92,0.48717948717948717,0.9802631578947368,0.019736842105263164,304
MEMSYM,0.94,0.48717948717948717,0.9802631578947368,0.019736842105263164,304
MEMSYM,0.96,0.48717948717948717,0.9802631578947368,0.019736842105263164,304
MEMSYM,0.98,0.10096153846153846,1.0,0.0,63
MEMSYM,1.0,0.10096153846153846,1.0,0.0,63
RAG_BASE,0.0,1.0,0.8637820512820513,0.13621794871794868,624
RAG_BASE,0.02,1.0,0.8637820512820513,0.13621794871794868,624
RAG_BASE,0.04,1.0,0.8637820512820513,0.13621794871794868,624
RAG_BASE,0.06,1.0,0.8637820512820513,0.13621794871794868,624
RAG_BASE,0.08,1.0,0.8637820512820513,0.13621794871794868,624
RAG_BASE,0.1,1.0,0.8637820512820513,0.13621794871794868,624
RAG_BASE,0.12,1.0,0.8637820512820513,0.13621794871794868,624
RAG_BASE,0.14,1.0,0.8637820512820513,0.13621794871794868,624
RAG_BASE,0.16,1.0,0.8637820512820513,0.13621794871794868,624
RAG_BASE,0.18,1.0,0.8637820512820513,0.13621794871794868,624
RAG_BASE,0.2,1.0,0.8637820512820513,0.13621794871794868,624
RAG_BASE,0.22,1.0,0.8637820512820513,0.13621794871794868,624
RAG_BASE,0.24,1.0,0.8637820512820513,0.13621794871794868,624
RAG_BASE,0.26,1.0,0.8637820512820513,0.13621794871794868,624
RAG_BASE,0.28,1.0,0.8637820512820513,0.13621794871794868,624
RAG_BASE,0.3,1.0,0.8637820512820513,0.13621794871794868,624
RAG_BASE,0.32,1.0,0.8637820512820513,0.13621794871794868,624
RAG_BASE,0.34,1.0,0.8637820512820513,0.13621794871794868,624
RAG_BASE,0.36,1.0,0.8637820512820513,0.13621794871794868,624
RAG_BASE,0.38,1.0,0.8637820512820513,0.13621794871794868,624
RAG_BASE,0.4,1.0,0.8637820512820513,0.13621794871794868,624
RAG_BASE,0.42,0.0,0.0,1.0,0
RAG_BASE,0.44,0.0,0.0,1.0,0
RAG_BASE,0.46,0.0,0.0,1.0,0
RAG_BASE,0.48,0.0,0.0,1.0,0
RAG_BASE,0.5,0.0,0.0,1.0,0
RAG_BASE,0.52,0.0,0.0,1.0,0
RAG_BASE,0.54,0.0,0.0,1.0,0
RAG_BASE,0.56,0.0,0.0,1.0,0
RAG_BASE,0.58,0.0,0.0,1.0,0
RAG_BASE,0.6,0.0,0.0,1.0,0
RAG_BASE,0.62,0.0,0.0,1.0,0
RAG_BASE,0.64,0.0,0.0,1.0,0
RAG_BASE,0.66,0.0,0.0,1.0,0
RAG_BASE,0.68,0.0,0.0,1.0,0
RAG_BASE,0.7,0.0,0.0,1.0,0
RAG_BASE,0.72,0.0,0.0,1.0,0
RAG_BASE,0.74,0.0,0.0,1.0,0
RAG_BASE,0.76,0.0,0.0,1.0,0
RAG_BASE,0.78,0.0,0.0,1.0,0
RAG_BASE,0.8,0.0,0.0,1.0,0
RAG_BASE,0.82,0.0,0.0,1.0,0
RAG_BASE,0.84,0.0,0.0,1.0,0
RAG_BASE,0.86,0.0,0.0,1.0,0
RAG_BASE,0.88,0.0,0.0,1.0,0
RAG_BASE,0.9,0.0,0.0,1.0,0
RAG_BASE,0.92,0.0,0.0,1.0,0
RAG_BASE,0.94,0.0,0.0,1.0,0
RAG_BASE,0.96,0.0,0.0,1.0,0
RAG_BASE,0.98,0.0,0.0,1.0,0
RAG_BASE,1.0,0.0,0.0,1.0,0
RL,0.0,1.0,0.8637820512820513,0.13621794871794868,624
RL,0.02,1.0,0.8637820512820513,0.13621794871794868,624
