factor_key,country_code,country_name,year,method,unit,value_kg_co2e_per_kwh,source_ref,status,notes
electricity_bg_1990_lc,BG,Bulgaria,1990,CoM Table3 EU LC GHG,kg CO2e/kWh,0.709482684155126,totalCarbonfootprintcalculation/CoM-Emission-factors-for-national-electricity-2024.xlsx,grounded,Extracted from Table3_EU_LC year column 1990
electricity_bg_1991_lc,BG,Bulgaria,1991,CoM Table3 EU LC GHG,kg CO2e/kWh,0.870796396813183,totalCarbonfootprintcalculation/CoM-Emission-factors-for-national-electricity-2024.xlsx,grounded,Extracted from Table3_EU_LC year column 1991
electricity_bg_1992_lc,BG,Bulgaria,1992,CoM Table3 EU LC GHG,kg CO2e/kWh,0.996256473016203,totalCarbonfootprintcalculation/CoM-Emission-factors-for-national-electricity-2024.xlsx,grounded,Extracted from Table3_EU_LC year column 1992
electricity_bg_1993_lc,BG,Bulgaria,1993,CoM Table3 EU LC GHG,kg CO2e/kWh,1.03981887330361,totalCarbonfootprintcalculation/CoM-Emission-factors-for-national-electricity-2024.xlsx,grounded,Extracted from Table3_EU_LC year column 1993
electricity_bg_1994_lc,BG,Bulgaria,1994,CoM Table3 EU LC GHG,kg CO2e/kWh,0.925587061073416,totalCarbonfootprintcalculation/CoM-Emission-factors-for-national-electricity-2024.xlsx,grounded,Extracted from Table3_EU_LC year column 1994
electricity_bg_1995_lc,BG,Bulgaria,1995,CoM Table3 EU LC GHG,kg CO2e/kWh,0.849287968102544,totalCarbonfootprintcalculation/CoM-Emission-factors-for-national-electricity-2024.xlsx,grounded,Extracted from Table3_EU_LC year column 1995
electricity_bg_1996_lc,BG,Bulgaria,1996,CoM Table3 EU LC GHG,kg CO2e/kWh,0.798533778382402,totalCarbonfootprintcalculation/CoM-Emission-factors-for-national-electricity-2024.xlsx,grounded,Extracted from Table3_EU_LC year column 1996
electricity_bg_1997_lc,BG,Bulgaria,1997,CoM Table3 EU LC GHG,kg CO2e/kWh,0.870412897833683,totalCarbonfootprintcalculation/CoM-Emission-factors-for-national-electricity-2024.xlsx,grounded,Extracted from Table3_EU_LC year column 1997
electricity_bg_1998_lc,BG,Bulgaria,1998,CoM Table3 EU LC GHG,kg CO2e/kWh,0.886031625184895,totalCarbonfootprintcalculation/CoM-Emission-factors-for-national-electricity-2024.xlsx,grounded,Extracted from Table3_EU_LC year column 1998
electricity_bg_1999_lc,BG,Bulgaria,1999,CoM Table3 EU LC GHG,kg CO2e/kWh,0.854197322066526,totalCarbonfootprintcalculation/CoM-Emission-factors-for-national-electricity-2024.xlsx,grounded,Extracted from Table3_EU_LC year column 1999
electricity_bg_2000_lc,BG,Bulgaria,2000,CoM Table3 EU LC GHG,kg CO2e/kWh,0.782081760269779,totalCarbonfootprintcalculation/CoM-Emission-factors-for-national-electricity-2024.xlsx,grounded,Extracted from Table3_EU_LC year column 2000
electricity_bg_2001_lc,BG,Bulgaria,2001,CoM Table3 EU LC GHG,kg CO2e/kWh,0.84697140936153,totalCarbonfootprintcalculation/CoM-Emission-factors-for-national-electricity-2024.xlsx,grounded,Extracted from Table3_EU_LC year column 2001
electricity_bg_2002_lc,BG,Bulgaria,2002,CoM Table3 EU LC GHG,kg CO2e/kWh,0.783677837291297,totalCarbonfootprintcalculation/CoM-Emission-factors-for-national-electricity-2024.xlsx,grounded,Extracted from Table3_EU_LC year column 2002
electricity_bg_2003_lc,BG,Bulgaria,2003,CoM Table3 EU LC GHG,kg CO2e/kWh,0.852431457185695,totalCarbonfootprintcalculation/CoM-Emission-factors-for-national-electricity-2024.xlsx,grounded,Extracted from Table3_EU_LC year column 2003
electricity_bg_2004_lc,BG,Bulgaria,2004,CoM Table3 EU LC GHG,kg CO2e/kWh,0.822141851186684,totalCarbonfootprintcalculation/CoM-Emission-factors-for-national-electricity-2024.xlsx,grounded,Extracted from Table3_EU_LC year column 2004
electricity_bg_2005_lc,BG,Bulgaria,2005,CoM Table3 EU LC GHG,kg CO2e/kWh,0.773549968720704,totalCarbonfootprintcalculation/CoM-Emission-factors-for-national-electricity-2024.xlsx,grounded,Extracted from Table3_EU_LC year column 2005
electricity_bg_2006_lc,BG,Bulgaria,2006,CoM Table3 EU LC GHG,kg CO2e/kWh,0.752537647978718,totalCarbonfootprintcalculation/CoM-Emission-factors-for-national-electricity-2024.xlsx,grounded,Extracted from Table3_EU_LC year column 2006
electricity_bg_2007_lc,BG,Bulgaria,2007,CoM Table3 EU LC GHG,kg CO2e/kWh,0.914444786862573,totalCarbonfootprintcalculation/CoM-Emission-factors-for-national-electricity-2024.xlsx,grounded,Extracted from Table3_EU_LC year column 2007
electricity_bg_2008_lc,BG,Bulgaria,2008,CoM Table3 EU LC GHG,kg CO2e/kWh,0.832941645902795,totalCarbonfootprintcalculation/CoM-Emission-factors-for-national-electricity-2024.xlsx,grounded,Extracted from Table3_EU_LC year column 2008
electricity_bg_2009_lc,BG,Bulgaria,2009,CoM Table3 EU LC GHG,kg CO2e/kWh,0.798753824788141,totalCarbonfootprintcalculation/CoM-Emission-factors-for-national-electricity-2024.xlsx,grounded,Extracted from Table3_EU_LC year column 2009
electricity_bg_2010_lc,BG,Bulgaria,2010,CoM Table3 EU LC GHG,kg CO2e/kWh,0.800622145111592,totalCarbonfootprintcalculation/CoM-Emission-factors-for-national-electricity-2024.xlsx,grounded,Extracted from Table3_EU_LC year column 2010
electricity_bg_2011_lc,BG,Bulgaria,2011,CoM Table3 EU LC GHG,kg CO2e/kWh,0.869409797487394,totalCarbonfootprintcalculation/CoM-Emission-factors-for-national-electricity-2024.xlsx,grounded,Extracted from Table3_EU_LC year column 2011
electricity_bg_2012_lc,BG,Bulgaria,2012,CoM Table3 EU LC GHG,kg CO2e/kWh,0.779630233502461,totalCarbonfootprintcalculation/CoM-Emission-factors-for-national-electricity-2024.xlsx,grounded,Extracted from Table3_EU_LC year column 2012
electricity_bg_2013_lc,BG,Bulgaria,2013,CoM Table3 EU LC GHG,kg CO2e/kWh,0.698336359757824,totalCarbonfootprintcalculation/CoM-Emission-factors-for-national-electricity-2024.xlsx,grounded,Extracted from Table3_EU_LC year column 2013
electricity_bg_2014_lc,BG,Bulgaria,2014,CoM Table3 EU LC GHG,kg CO2e/kWh,0.678918027252374,totalCarbonfootprintcalculation/CoM-Emission-factors-for-national-electricity-2024.xlsx,grounded,Extracted from Table3_EU_LC year column 2014
electricity_bg_2015_lc,BG,Bulgaria,2015,CoM Table3 EU LC GHG,kg CO2e/kWh,0.68111271130852,totalCarbonfootprintcalculation/CoM-Emission-factors-for-national-electricity-2024.xlsx,grounded,Extracted from Table3_EU_LC year column 2015
electricity_bg_2016_lc,BG,Bulgaria,2016,CoM Table3 EU LC GHG,kg CO2e/kWh,0.64238966928762,totalCarbonfootprintcalculation/CoM-Emission-factors-for-national-electricity-2024.xlsx,grounded,Extracted from Table3_EU_LC year column 2016
electricity_bg_2017_lc,BG,Bulgaria,2017,CoM Table3 EU LC GHG,kg CO2e/kWh,0.690866082545576,totalCarbonfootprintcalculation/CoM-Emission-factors-for-national-electricity-2024.xlsx,grounded,Extracted from Table3_EU_LC year column 2017
electricity_bg_2018_lc,BG,Bulgaria,2018,CoM Table3 EU LC GHG,kg CO2e/kWh,0.598875547025079,totalCarbonfootprintcalculation/CoM-Emission-factors-for-national-electricity-2024.xlsx,grounded,Extracted from Table3_EU_LC year column 2018
electricity_bg_2019_lc,BG,Bulgaria,2019,CoM Table3 EU LC GHG,kg CO2e/kWh,0.573845753702202,totalCarbonfootprintcalculation/CoM-Emission-factors-for-national-electricity-2024.xlsx,grounded,Extracted from Table3_EU_LC year column 2019
electricity_bg_2020_lc,BG,Bulgaria,2020,CoM Table3 EU LC GHG,kg CO2e/kWh,0.508321199117637,totalCarbonfootprintcalculation/CoM-Emission-factors-for-national-electricity-2024.xlsx,grounded,Extracted from Table3_EU_LC year column 2020
electricity_bg_2021_lc,BG,Bulgaria,2021,CoM Table3 EU LC GHG,kg CO2e/kWh,0.540301062889025,totalCarbonfootprintcalculation/CoM-Emission-factors-for-national-electricity-2024.xlsx,grounded,Extracted from Table3_EU_LC year column 2021
electricity_cz_1990_lc,CZ,Czechia,1990,CoM Table3 EU LC GHG,kg CO2e/kWh,1.12032804632084,totalCarbonfootprintcalculation/CoM-Emission-factors-for-national-electricity-2024.xlsx,grounded,Extracted from Table3_EU_LC year column 1990
electricity_cz_1991_lc,CZ,Czechia,1991,CoM Table3 EU LC GHG,kg CO2e/kWh,1.12526513439553,totalCarbonfootprintcalculation/CoM-Emission-factors-for-national-electricity-2024.xlsx,grounded,Extracted from Table3_EU_LC year column 1991
electricity_cz_1992_lc,CZ,Czechia,1992,CoM Table3 EU LC GHG,kg CO2e/kWh,1.11203397153521,totalCarbonfootprintcalculation/CoM-Emission-factors-for-national-electricity-2024.xlsx,grounded,Extracted from Table3_EU_LC year column 1992
electricity_cz_1993_lc,CZ,Czechia,1993,CoM Table3 EU LC GHG,kg CO2e/kWh,1.12366586189676,totalCarbonfootprintcalculation/CoM-Emission-factors-for-national-electricity-2024.xlsx,grounded,Extracted from Table3_EU_LC year column 1993
electricity_cz_1994_lc,CZ,Czechia,1994,CoM Table3 EU LC GHG,kg CO2e/kWh,1.10505671480468,totalCarbonfootprintcalculation/CoM-Emission-factors-for-national-electricity-2024.xlsx,grounded,Extracted from Table3_EU_LC year column 1994
electricity_cz_1995_lc,CZ,Czechia,1995,CoM Table3 EU LC GHG,kg CO2e/kWh,1.09528718747872,totalCarbonfootprintcalculation/CoM-Emission-factors-for-national-electricity-2024.xlsx,grounded,Extracted from Table3_EU_LC year column 1995
electricity_cz_1996_lc,CZ,Czechia,1996,CoM Table3 EU LC GHG,kg CO2e/kWh,1.10838232830284,totalCarbonfootprintcalculation/CoM-Emission-factors-for-national-electricity-2024.xlsx,grounded,Extracted from Table3_EU_LC year column 1996
electricity_cz_1997_lc,CZ,Czechia,1997,CoM Table3 EU LC GHG,kg CO2e/kWh,1.04223173617373,totalCarbonfootprintcalculation/CoM-Emission-factors-for-national-electricity-2024.xlsx,grounded,Extracted from Table3_EU_LC year column 1997
electricity_cz_1998_lc,CZ,Czechia,1998,CoM Table3 EU LC GHG,kg CO2e/kWh,1.03919842188365,totalCarbonfootprintcalculation/CoM-Emission-factors-for-national-electricity-2024.xlsx,grounded,Extracted from Table3_EU_LC year column 1998
electricity_cz_1999_lc,CZ,Czechia,1999,CoM Table3 EU LC GHG,kg CO2e/kWh,0.981999400240786,totalCarbonfootprintcalculation/CoM-Emission-factors-for-national-electricity-2024.xlsx,grounded,Extracted from Table3_EU_LC year column 1999
electricity_cz_2000_lc,CZ,Czechia,2000,CoM Table3 EU LC GHG,kg CO2e/kWh,0.985602767025493,totalCarbonfootprintcalculation/CoM-Emission-factors-for-national-electricity-2024.xlsx,grounded,Extracted from Table3_EU_LC year column 2000
electricity_cz_2001_lc,CZ,Czechia,2001,CoM Table3 EU LC GHG,kg CO2e/kWh,0.985492106553558,totalCarbonfootprintcalculation/CoM-Emission-factors-for-national-electricity-2024.xlsx,grounded,Extracted from Table3_EU_LC year column 2001
electricity_cz_2002_lc,CZ,Czechia,2002,CoM Table3 EU LC GHG,kg CO2e/kWh,0.954692660809299,totalCarbonfootprintcalculation/CoM-Emission-factors-for-national-electricity-2024.xlsx,grounded,Extracted from Table3_EU_LC year column 2002
electricity_cz_2003_lc,CZ,Czechia,2003,CoM Table3 EU LC GHG,kg CO2e/kWh,0.887483251084858,totalCarbonfootprintcalculation/CoM-Emission-factors-for-national-electricity-2024.xlsx,grounded,Extracted from Table3_EU_LC year column 2003
electricity_cz_2004_lc,CZ,Czechia,2004,CoM Table3 EU LC GHG,kg CO2e/kWh,0.90381292804762,totalCarbonfootprintcalculation/CoM-Emission-factors-for-national-electricity-2024.xlsx,grounded,Extracted from Table3_EU_LC year column 2004
electricity_cz_2005_lc,CZ,Czechia,2005,CoM Table3 EU LC GHG,kg CO2e/kWh,0.927954066193734,totalCarbonfootprintcalculation/CoM-Emission-factors-for-national-electricity-2024.xlsx,grounded,Extracted from Table3_EU_LC year column 2005
electricity_cz_2006_lc,CZ,Czechia,2006,CoM Table3 EU LC GHG,kg CO2e/kWh,0.920343397209159,totalCarbonfootprintcalculation/CoM-Emission-factors-for-national-electricity-2024.xlsx,grounded,Extracted from Table3_EU_LC year column 2006
electricity_cz_2007_lc,CZ,Czechia,2007,CoM Table3 EU LC GHG,kg CO2e/kWh,0.92459542831158,totalCarbonfootprintcalculation/CoM-Emission-factors-for-national-electricity-2024.xlsx,grounded,Extracted from Table3_EU_LC year column 2007
electricity_cz_2008_lc,CZ,Czechia,2008,CoM Table3 EU LC GHG,kg CO2e/kWh,0.884348013351464,totalCarbonfootprintcalculation/CoM-Emission-factors-for-national-electricity-2024.xlsx,grounded,Extracted from Table3_EU_LC year column 2008
electricity_cz_2009_lc,CZ,Czechia,2009,CoM Table3 EU LC GHG,kg CO2e/kWh,0.845860208704737,totalCarbonfootprintcalculation/CoM-Emission-factors-for-national-electricity-2024.xlsx,grounded,Extracted from Table3_EU_LC year column 2009
electricity_cz_2010_lc,CZ,Czechia,2010,CoM Table3 EU LC GHG,kg CO2e/kWh,0.837234108494308,totalCarbonfootprintcalculation/CoM-Emission-factors-for-national-electricity-2024.xlsx,grounded,Extracted from Table3_EU_LC year column 2010
electricity_cz_2011_lc,CZ,Czechia,2011,CoM Table3 EU LC GHG,kg CO2e/kWh,0.835092363476029,totalCarbonfootprintcalculation/CoM-Emission-factors-for-national-electricity-2024.xlsx,grounded,Extracted from Table3_EU_LC year column 2011
electricity_cz_2012_lc,CZ,Czechia,2012,CoM Table3 EU LC GHG,kg CO2e/kWh,0.792978581679801,totalCarbonfootprintcalculation/CoM-Emission-factors-for-national-electricity-2024.xlsx,grounded,Extracted from Table3_EU_LC year column 2012
electricity_cz_2013_lc,CZ,Czechia,2013,CoM Table3 EU LC GHG,kg CO2e/kWh,0.759182344983848,totalCarbonfootprintcalculation/CoM-Emission-factors-for-national-electricity-2024.xlsx,grounded,Extracted from Table3_EU_LC year column 2013
electricity_cz_2014_lc,CZ,Czechia,2014,CoM Table3 EU LC GHG,kg CO2e/kWh,0.754351936168159,totalCarbonfootprintcalculation/CoM-Emission-factors-for-national-electricity-2024.xlsx,grounded,Extracted from Table3_EU_LC year column 2014
electricity_cz_2015_lc,CZ,Czechia,2015,CoM Table3 EU LC GHG,kg CO2e/kWh,0.773936250977492,totalCarbonfootprintcalculation/CoM-Emission-factors-for-national-electricity-2024.xlsx,grounded,Extracted from Table3_EU_LC year column 2015
electricity_cz_2016_lc,CZ,Czechia,2016,CoM Table3 EU LC GHG,kg CO2e/kWh,0.764080814851862,totalCarbonfootprintcalculation/CoM-Emission-factors-for-national-electricity-2024.xlsx,grounded,Extracted from Table3_EU_LC year column 2016
electricity_cz_2017_lc,CZ,Czechia,2017,CoM Table3 EU LC GHG,kg CO2e/kWh,0.708681607898377,totalCarbonfootprintcalculation/CoM-Emission-factors-for-national-electricity-2024.xlsx,grounded,Extracted from Table3_EU_LC year column 2017
electricity_cz_2018_lc,CZ,Czechia,2018,CoM Table3 EU LC GHG,kg CO2e/kWh,0.680326061435447,totalCarbonfootprintcalculation/CoM-Emission-factors-for-national-electricity-2024.xlsx,grounded,Extracted from Table3_EU_LC year column 2018
electricity_cz_2019_lc,CZ,Czechia,2019,CoM Table3 EU LC GHG,kg CO2e/kWh,0.624089843691911,totalCarbonfootprintcalculation/CoM-Emission-factors-for-national-electricity-2024.xlsx,grounded,Extracted from Table3_EU_LC year column 2019
electricity_cz_2020_lc,CZ,Czechia,2020,CoM Table3 EU LC GHG,kg CO2e/kWh,0.557959901678132,totalCarbonfootprintcalculation/CoM-Emission-factors-for-national-electricity-2024.xlsx,grounded,Extracted from Table3_EU_LC year column 2020
electricity_cz_2021_lc,CZ,Czechia,2021,CoM Table3 EU LC GHG,kg CO2e/kWh,0.58970226381357,totalCarbonfootprintcalculation/CoM-Emission-factors-for-national-electricity-2024.xlsx,grounded,Extracted from Table3_EU_LC year column 2021
